zip_code,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,incident_address,borough,community_board,police_precinct,city_council_district,bbl,created_date,status,resolution_action,closed_date,x_coordinate,y_coordinate,latitude,longitude,census_tract,bin,nta,location
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,520 WEST   25 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1006960049,2018-02-23T00:00:00,Open,Site to be cleaned.,,983043,212318,40.749441,-74.004356,  99  ,1080308,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.749441', '-74.004356', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,24 WEST   28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008290059,2018-01-29T00:00:00,Open,Site downloaded for cleaning,,987279,210853,40.745419,-73.989069,  58  ,1015699,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.745419', '-73.989069', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,235 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007220040,2018-01-11T00:00:00,Open,Site downloaded for cleaning,,984060,211570,40.747388,-74.000686,  93  ,1012801,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.747388', '-74.000686', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,340 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007530005,2018-01-11T00:00:00,Open,Site downloaded for cleaning,,984703,212720,40.750544,-73.998365,  97  ,1013468,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.750544', '-73.998365', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,27 WEST   27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008290021,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,987224,210595,40.744711,-73.989267,  58  ,1015682,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.744711', '-73.989267', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,243 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007220043,2018-01-11T00:00:00,Open,Site downloaded for cleaning,,984099,211640,40.747580,-74.000545,  93  ,1012804,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.74758', '-74.000545', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,427 WEST   26 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007240015,2018-01-30T00:00:00,Open,Public Property (Non-City),,983840,212178,40.749056,-74.001480,  97  ,1012828,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.749056', '-74.00148', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,1216 BROADWAY,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008310059,2018-01-29T00:00:00,Open,Site downloaded for cleaning,,987444,211289,40.746616,-73.988473,  76  ,1080723,Midtown-Midtown South,"[None, '40.746616', '-73.988473', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,351 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100018,2018-01-29T00:00:00,Open,Site downloaded for cleaning,,987178,200424,40.716794,-73.989438,  16  ,1004032,Chinatown,"[None, '40.716794', '-73.989438', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,148 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,02,1003550072,2018-03-09T00:00:00,Open,Site to be cleaned.,,988239,201806,40.720587,-73.985609,  3001,1004345,Chinatown,"[None, '40.720587', '-73.985609', None, False]"
